Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:42:44;597		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:42:44;597	Stop Time:,06/10/2017,08:42:59;593	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	295,977814	960,833313	41,996403
4	299,819977	960,543701	41,410606
8	303,657715	959,429138	43,073864
12	307,498260	960,139526	41,980049
16	311,342102	960,960388	39,379173
20	315,179047	959,231201	38,951050
24	319,019257	960,058289	41,632198
28	322,849548	957,570801	45,526550
32	326,691071	960,381226	44,201473
36	330,537323	961,562439	42,634258
40	334,382050	961,183289	41,269646
44	338,221680	959,902039	41,738094
48	342,057495	958,960388	42,615524
52	345,889832	958,081177	44,114964
56	349,729126	959,822876	43,315147
60	353,569611	960,122864	41,942959
64	357,412384	960,693726	43,284019
68	1,259542	961,787476	40,836906
72	5,103858	961,079102	43,246414
76	8,941400	959,385376	42,970230
80	12,777041	958,910400	43,612011
84	16,614300	959,314514	42,821476
88	20,454933	960,158264	42,544548
92	24,295967	960,258301	42,001244
96	28,138359	960,597900	40,177105
100	31,979233	960,218689	40,487949
104	35,822666	960,858276	38,720482
108	39,665550	960,720764	38,574089
112	43,500793	958,810364	42,878326
116	47,334209	958,354126	44,901962
120	51,173050	959,710388	44,755642
124	55,013218	960,041626	43,661007
128	58,860577	961,839539	40,171001
132	62,705250	961,168701	39,659668
136	66,549355	961,027039	39,782993
140	70,386230	959,218689	40,754471
144	74,218468	958,058289	41,977467
148	78,057060	959,647888	41,682426
152	81,895508	959,612427	40,565807
156	85,736382	960,218689	43,238140
160	89,578789	960,602051	43,935646
164	93,418266	959,868713	43,696640
168	97,262497	961,058289	41,572590
172	101,100800	959,574951	40,180824
176	104,943031	960,558289	40,286804
180	108,778343	958,827026	42,603771
184	112,610374	958,008301	42,318295
188	116,455269	961,222900	42,303364
192	120,301933	961,666626	39,561771
196	124,152557	962,656189	39,050014
200	127,986107	958,387451	42,261730
204	131,815079	957,241638	45,993862
208	135,653580	959,627014	44,267097
212	139,493469	959,970764	41,456799
216	143,334213	960,187439	40,889355
220	147,184982	962,691650	38,596310
224	151,023788	959,702026	39,936455
228	154,863495	959,927063	40,616455
232	158,700089	959,147888	41,058044
236	162,537933	959,460388	40,949806
240	166,379913	960,493713	42,048145
244	170,217361	959,364563	44,189690
248	174,051987	958,656189	45,006310
252	177,891083	959,772888	42,739601
256	181,735413	961,081177	40,940372
260	185,579285	960,968689	40,010620
264	189,425232	961,485352	38,509102
268	193,262314	959,272888	41,612377
272	197,095581	958,316650	44,523254
276	200,929535	958,487427	44,012978
280	204,770447	960,229126	42,847752
284	208,620560	962,529114	41,107643
288	212,464310	960,935364	43,039181
292	216,295242	957,733276	44,650375
296	220,136322	960,270813	42,252464
300	223,976669	960,087463	41,138897
304	227,817719	960,260376	40,506519
308	231,657288	959,893677	42,015053
312	235,494247	959,237427	44,247746
316	239,332779	959,633301	44,286816
320	243,169449	959,166626	44,362686
324	247,014633	961,297852	41,461502
328	250,859146	961,129150	42,588470
332	254,696335	959,297852	43,340214
336	258,534821	959,618713	44,978081
340	262,374298	959,866638	42,082520
344	266,216125	960,458313	40,897690
348	270,059479	960,837463	39,247635
352	273,900604	960,287476	41,286736
356	277,738831	959,549927	42,251965
360	281,577942	959,779114	42,890106
364	285,418365	960,110352	42,363213
368	289,262207	960,960388	40,446423
372	293,101929	959,929138	42,425049
376	296,937744	958,956177	42,924576
380	300,774994	959,310364	44,331833
384	304,614594	959,895813	42,602695
388	308,461639	961,764526	39,179417
392	312,302826	960,297852	39,058918
396	316,142731	959,977051	39,696877
400	319,974060	957,831177	43,408245
404	323,811981	959,477051	44,772675
408	327,653625	960,414551	43,483292
412	331,499817	961,547852	41,431557
